det1_rich_modular_eleside_0_0_lensHoldBox_groove31  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove31  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 6.2992*mm 6.2992*mm 6.2992*mm 6.5024*mm 6.5024*mm 6.2993*mm -8.5*mm 8.48258285714286*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove32  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove32  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 6.5024*mm 6.5024*mm 6.5024*mm 6.7056*mm 6.7056*mm 6.5025*mm -8.5*mm 8.48202993197279*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove33  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove33  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 6.7056*mm 6.7056*mm 6.7056*mm 6.9088*mm 6.9088*mm 6.7057*mm -8.5*mm 8.48147700680272*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove34  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove34  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 6.9088*mm 6.9088*mm 6.9088*mm 7.112*mm 7.112*mm 6.9089*mm -8.5*mm 8.48092408163265*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove35  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove35  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 7.112*mm 7.112*mm 7.112*mm 7.3152*mm 7.3152*mm 7.1121*mm -8.5*mm 8.48037115646258*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove36  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove36  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 7.3152*mm 7.3152*mm 7.3152*mm 7.5184*mm 7.5184*mm 7.3153*mm -8.5*mm 8.47981823129252*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove37  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove37  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 7.5184*mm 7.5184*mm 7.5184*mm 7.7216*mm 7.7216*mm 7.5185*mm -8.5*mm 8.47926530612245*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove38  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove38  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 7.7216*mm 7.7216*mm 7.7216*mm 7.9248*mm 7.9248*mm 7.7217*mm -8.5*mm 8.47871238095238*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove39  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove39  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 7.9248*mm 7.9248*mm 7.9248*mm 8.128*mm 8.128*mm 7.9249*mm -8.5*mm 8.47815945578231*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove40  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove40  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 8.128*mm 8.128*mm 8.128*mm 8.3312*mm 8.3312*mm 8.1281*mm -8.5*mm 8.47760653061225*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove41  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove41  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 8.3312*mm 8.3312*mm 8.3312*mm 8.5344*mm 8.5344*mm 8.3313*mm -8.5*mm 8.47705360544218*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
